user_id,total_session_count,total_category_browse_count,added_to_cart,cart_value,search_count,days_active_last_7,event_count
QB100642,14,11,yes,64.62,4,5,48
QB100653,1,1,no,0.0,2,1,3
QB100656,2,3,yes,109.89,2,3,10
QB100662,8,2,yes,239.46,2,2,21
QB100665,3,3,yes,271.22,3,2,10
QB100667,8,4,yes,215.54,3,4,27
QB100671,3,2,no,0.0,3,1,12
QB100674,3,4,yes,173.15,3,3,34
QB100677,1,1,no,0.0,0,1,4
QB100680,2,0,no,0.0,1,1,7
QB100681,1,1,no,0.0,0,1,6
QB100689,6,4,yes,180.78,11,7,43
QB100694,2,6,yes,224.22,5,4,34
QB100699,2,1,no,0.0,2,1,6
QB100703,1,1,no,0.0,2,1,5
QB100707,11,11,yes,376.97,5,4,60
QB100708,4,1,no,0.0,1,1,9
QB100724,5,7,yes,296.9,3,5,27
QB100731,2,0,no,0.0,1,1,7
QB100749,3,5,yes,200.51,1,3,20
QB100750,2,1,no,0.0,0,1,5
QB100753,2,0,no,0.0,0,1,7
QB100754,4,3,yes,121.71,2,3,29
QB100759,19,12,no,0.0,11,5,58
QB100762,17,7,yes,142.96,3,5,73
QB100764,14,10,yes,363.01,8,4,65
QB100765,9,2,yes,448.38,3,4,17
QB100775,4,1,no,0.0,0,1,5
QB100793,3,6,yes,243.28,4,4,13
QB100795,9,6,yes,299.95,2,4,29
QB100796,10,8,yes,265.8,11,7,25
QB100799,4,7,yes,114.38,3,3,14
QB100804,14,6,yes,632.68,3,4,46
QB100814,2,0,no,0.0,1,1,4
QB100815,4,2,yes,283.64,5,4,15
QB100823,5,6,no,0.0,10,7,35
QB100840,1,0,no,0.0,2,1,3
QB100845,1,2,no,0.0,2,1,3
QB100848,4,1,no,0.0,2,2,12
QB100849,3,2,yes,321.6,1,2,4
QB100850,2,1,no,0.0,0,1,5
QB100851,5,2,no,0.0,2,2,28
QB100873,4,1,yes,243.39,0,1,14
QB100874,8,11,yes,292.44,9,4,37
QB100877,9,2,no,0.0,2,4,13
QB100883,10,4,yes,273.84,4,4,31
QB100884,6,4,yes,157.53,2,3,25
QB100889,2,1,yes,167.66,2,2,6
QB100890,6,13,yes,134.65,3,6,47
QB100894,10,14,yes,404.64,9,6,47
QB100900,2,1,no,0.0,1,1,8
QB100906,6,4,yes,298.21,5,3,23
QB100908,17,6,yes,369.81,5,5,27
QB100909,2,0,yes,415.82,0,1,1
QB100912,2,0,no,0.0,1,1,2
QB100915,15,12,yes,149.05,7,4,41
QB100918,9,14,no,0.0,5,4,75
QB100921,2,3,no,0.0,5,4,31
QB100924,9,4,no,0.0,3,3,15
QB100929,1,0,no,0.0,0,1,6
QB100938,6,2,no,0.0,3,4,16
QB100939,2,1,no,0.0,2,1,13
QB100940,16,4,yes,349.86,6,6,29
QB100954,2,1,yes,443.13,1,1,13
QB100963,9,6,no,0.0,1,4,25
QB100980,1,3,no,0.0,2,1,4
QB100992,4,3,no,0.0,4,3,27
QB101000,6,13,yes,223.76,5,7,44
QB101004,17,5,yes,130.29,8,7,74
QB101011,11,10,yes,212.22,7,7,23
QB101014,16,12,no,0.0,6,5,60
QB101017,14,7,yes,274.68,7,7,34
QB101018,14,14,yes,153.07,3,5,29
QB101020,8,5,yes,89.78,3,4,26
QB101025,2,0,no,0.0,2,1,6
QB101027,2,1,no,0.0,1,1,5
QB101031,9,7,no,0.0,4,4,27
QB101043,2,2,no,0.0,3,2,21
QB101045,14,4,yes,271.71,8,4,25
QB101046,2,1,no,0.0,0,1,7
QB101052,1,0,no,0.0,0,1,5
QB101053,2,6,yes,245.68,3,2,9
QB101055,2,1,no,0.0,1,1,3
QB101057,7,7,yes,170.25,4,3,8
QB101058,1,2,no,0.0,2,2,12
QB101059,2,0,no,0.0,0,1,5
QB101072,1,0,no,0.0,0,1,7
QB101089,4,2,yes,251.19,0,2,13
QB101094,12,11,no,0.0,7,5,65
QB101097,5,2,yes,193.88,3,2,8
QB101104,4,1,no,0.0,0,2,6
QB101107,15,12,yes,166.3,6,6,79
QB101114,2,1,no,0.0,0,1,6
QB101125,5,13,yes,333.08,6,7,24
QB101126,9,2,no,0.0,1,2,31
QB101132,4,1,no,0.0,0,2,5
QB101134,18,6,yes,309.04,6,4,23
QB101135,1,1,yes,577.43,0,2,11
QB101138,19,5,yes,249.06,7,7,71
QB101139,2,0,no,0.0,0,1,5
QB101148,9,7,yes,120.7,5,2,33
QB101149,2,1,no,0.0,1,1,2
QB101171,7,2,yes,326.6,2,4,22
QB101172,1,1,no,0.0,0,1,2
QB101204,2,0,no,0.0,0,1,4
QB101208,1,1,no,0.0,1,1,1
QB101213,6,2,no,0.0,5,2,12
QB101214,2,0,no,0.0,2,1,6
QB101216,4,3,no,0.0,2,1,5
QB101219,2,3,no,0.0,2,2,3
QB101224,1,2,no,0.0,1,1,12
QB101230,13,7,yes,394.3,8,5,44
QB101244,11,9,yes,191.19,9,7,32
QB101266,14,6,yes,124.42,10,6,25
QB101271,4,6,yes,190.46,2,3,17
QB101273,1,3,no,0.0,0,1,3
QB101287,1,3,no,0.0,3,2,13
QB101290,2,0,no,0.0,2,1,3
QB101308,2,2,no,0.0,0,2,6
QB101309,2,3,yes,95.1,5,3,15
QB101310,3,2,no,0.0,2,1,9
QB101313,3,3,no,0.0,0,2,14
QB101315,2,1,yes,330.88,1,1,2
QB101324,9,5,yes,254.67,3,7,34
QB101326,16,12,yes,123.13,9,4,37
QB101328,2,1,no,0.0,1,1,3
QB101334,18,11,no,0.0,5,4,64
QB101335,6,7,yes,351.7,2,2,13
QB101340,4,6,yes,334.11,3,2,10
QB101342,14,5,yes,604.68,11,5,33
QB101343,9,7,no,0.0,1,2,33
QB101352,4,4,no,0.0,5,4,18
QB101362,1,0,no,0.0,2,1,3
QB101366,1,3,yes,466.72,3,2,3
QB101377,7,7,yes,445.75,2,2,26
QB101378,1,0,no,0.0,2,1,3
QB101385,1,0,no,0.0,0,1,6
QB101387,19,12,yes,627.65,3,5,22
QB101390,2,0,no,0.0,1,1,2
QB101393,17,6,yes,88.52,7,7,72
QB101396,12,14,yes,291.9,11,7,70
QB101398,6,6,no,0.0,9,4,54
QB101403,3,5,yes,317.18,1,4,15
QB101404,9,6,yes,334.76,5,3,15
QB101409,3,2,no,0.0,4,3,9
QB101415,2,1,no,0.0,1,1,7
QB101428,6,4,no,0.0,5,3,18
QB101432,10,11,yes,242.86,4,5,22
QB101435,6,7,no,0.0,9,5,26
QB101441,16,9,yes,530.8,7,4,72
QB101460,1,0,yes,447.54,1,1,7
QB101463,8,5,yes,326.58,3,3,32
QB101465,3,3,no,0.0,3,2,3
QB101471,1,0,no,0.0,0,1,6
QB101475,6,7,yes,221.89,3,4,17
QB101482,8,6,no,0.0,5,3,33
QB101483,4,3,yes,364.88,4,3,14
QB101493,1,0,no,0.0,1,1,2
QB101495,2,2,yes,436.93,1,2,13
QB101499,4,3,yes,264.99,0,1,12
QB101504,5,2,no,0.0,1,3,19
QB101513,1,0,no,0.0,0,1,6
QB101520,2,2,no,0.0,2,2,6
QB101522,5,5,yes,172.95,10,4,26
QB101524,6,6,no,0.0,5,5,24
QB101527,2,0,no,0.0,0,1,5
QB101532,5,5,yes,169.92,5,3,31
QB101543,1,1,no,0.0,3,1,4
QB101549,19,10,no,0.0,7,4,67
QB101554,1,1,no,0.0,0,1,3
QB101558,6,14,yes,105.63,8,7,53
QB101561,3,3,no,0.0,1,2,6
QB101562,5,11,yes,178.81,3,6,36
QB101563,11,8,no,0.0,5,6,24
QB101569,7,6,yes,238.42,5,2,21
QB101571,2,4,no,0.0,5,4,31
QB101581,5,6,yes,145.74,1,3,32
QB101597,5,5,no,0.0,3,4,32
QB101602,7,7,no,0.0,5,3,21
QB101603,1,0,no,0.0,2,1,2
QB101611,2,7,no,0.0,1,3,30
QB101612,17,7,yes,766.07,5,5,39
QB101614,1,0,no,0.0,0,1,4
QB101615,4,3,yes,397.46,3,1,3
QB101620,7,6,no,0.0,5,4,26
QB101626,9,14,yes,176.08,11,7,23
QB101627,1,0,no,0.0,1,1,7
QB101633,2,1,no,0.0,0,1,6
QB101638,1,2,no,0.0,3,2,3
QB101642,2,1,no,0.0,1,1,4
QB101644,3,2,yes,265.3,1,1,6
QB101651,10,9,no,0.0,8,6,52
QB101657,1,3,no,0.0,0,2,9
QB101662,9,5,no,0.0,3,4,24
QB101665,8,5,no,0.0,5,3,17
QB101675,18,8,yes,398.41,4,6,35
QB101680,13,5,yes,153.66,10,5,74
QB101685,2,1,no,0.0,1,1,2
QB101686,5,3,no,0.0,4,4,8
QB101693,2,0,no,0.0,0,1,1
QB101696,14,4,no,0.0,4,6,54
QB101701,2,1,no,0.0,0,1,5
QB101705,3,5,yes,228.03,1,4,21
QB101706,17,5,yes,250.82,11,4,58
QB101730,5,7,yes,110.68,3,2,18
QB101731,2,5,no,0.0,1,3,11
QB101734,2,1,no,0.0,2,1,9
QB101751,9,7,yes,458.31,3,3,30
QB101756,14,7,yes,262.17,7,5,52
QB101760,5,3,yes,148.04,5,2,20
QB101761,4,3,no,0.0,4,3,23
QB101772,5,7,yes,309.38,10,7,22
QB101784,16,4,no,0.0,6,5,61
QB101790,1,1,yes,270.22,2,2,14
QB101792,2,2,no,0.0,3,2,6
QB101811,1,0,no,0.0,2,1,3
QB101812,2,1,no,0.0,0,1,5
QB101813,1,1,no,0.0,1,1,1
QB101814,6,7,no,0.0,1,4,30
QB101822,2,0,no,0.0,1,1,5
QB101835,1,1,no,0.0,0,1,2
QB101838,2,1,no,0.0,0,1,2
QB101848,1,0,no,0.0,2,1,5
QB101850,3,1,yes,385.79,2,2,11
QB101854,2,0,no,0.0,0,1,4
QB101856,12,7,yes,406.57,5,6,33
QB101857,8,5,yes,118.61,4,7,65
QB101858,2,1,no,0.0,1,1,1
QB101865,9,7,yes,304.15,9,6,27
QB101866,2,0,no,0.0,0,1,7
QB101881,13,9,yes,327.27,9,6,35
QB101882,7,7,no,0.0,1,3,21
QB101889,2,2,no,0.0,1,2,6
QB101890,10,11,no,0.0,6,7,32
QB101913,4,2,no,0.0,3,2,17
QB101920,14,14,yes,129.5,7,6,74
QB101925,7,3,yes,306.27,4,3,20
QB101927,2,3,no,0.0,3,2,5
QB101928,5,2,yes,116.96,2,2,24
QB101934,14,6,yes,159.02,6,5,21
QB101935,5,5,no,0.0,1,3,21
QB101946,9,9,yes,164.98,7,4,77
QB101951,13,6,yes,155.18,7,4,51
QB101954,6,9,yes,471.95,3,7,67
QB101955,4,1,no,0.0,1,1,3
QB101968,14,12,yes,228.59,7,5,29
QB101976,16,11,yes,259.98,5,4,56
QB101992,6,5,yes,657.27,5,2,19
QB101998,1,1,no,0.0,1,1,7
QB102004,7,6,yes,343.0,4,2,22
QB102006,8,2,yes,295.25,2,2,11
QB102008,1,1,no,0.0,0,2,4
QB102009,17,5,yes,263.06,10,6,58
QB102012,15,7,yes,345.98,10,5,36
QB102027,2,2,no,0.0,2,4,16
QB102033,2,0,no,0.0,0,1,6
QB102034,2,1,no,0.0,0,1,3
QB102041,2,1,yes,508.15,1,1,5
QB102043,14,11,yes,232.47,10,4,27
QB102045,1,2,no,0.0,1,1,5
QB102046,1,1,no,0.0,1,1,6
QB102050,1,0,no,0.0,2,1,2
QB102054,3,1,yes,233.21,0,2,4
QB102063,4,1,yes,404.18,1,2,3
QB102066,2,1,no,0.0,1,1,5
QB102073,4,6,no,0.0,5,3,16
QB102081,1,2,no,0.0,0,1,6
QB102089,1,1,yes,179.09,1,2,3
QB102090,2,1,no,0.0,2,1,5
QB102102,2,0,no,0.0,0,1,4
QB102108,1,0,no,0.0,1,1,7
QB102111,6,3,yes,730.97,2,4,29
QB102113,3,6,yes,268.21,4,3,32
QB102116,2,1,no,0.0,1,1,4
QB102122,4,1,no,0.0,0,2,12
QB102124,4,2,no,0.0,0,2,8
QB102131,8,3,no,0.0,3,3,18
QB102133,7,7,yes,548.22,2,3,31
QB102137,3,2,no,0.0,2,2,4
QB102139,9,5,no,0.0,5,4,10
QB102144,2,2,yes,48.9,1,1,3
QB102154,7,12,no,0.0,11,7,39
QB102156,4,1,yes,147.05,0,1,10
QB102169,2,1,no,0.0,0,1,5
QB102177,2,0,no,0.0,0,1,7
QB102178,2,0,no,0.0,2,1,6
QB102182,9,12,yes,297.65,7,5,46
QB102190,8,7,yes,748.68,5,2,22
QB102199,17,5,yes,174.2,5,5,66
QB102203,5,4,no,0.0,2,4,20
QB102206,1,1,no,0.0,0,1,4
QB102207,8,4,yes,149.07,3,7,25
QB102208,19,10,yes,145.7,11,5,28
QB102214,1,1,yes,194.52,0,1,7
QB102216,1,1,yes,265.98,3,2,5
QB102219,14,10,no,0.0,7,6,24
QB102223,8,4,yes,328.57,10,7,72
QB102232,1,0,no,0.0,1,1,3
QB102235,18,10,yes,134.46,3,6,57
QB102240,1,3,no,0.0,3,2,10
QB102242,2,1,no,0.0,0,1,1
QB102250,7,9,no,0.0,6,5,37
QB102252,18,6,yes,276.97,11,4,35
QB102253,8,12,yes,355.76,3,4,70
QB102255,10,13,no,0.0,4,7,21
QB102261,19,5,yes,174.06,10,4,33
QB102265,4,2,no,0.0,3,1,7
QB102266,2,7,yes,196.82,4,4,21
QB102269,7,12,yes,316.83,11,4,79
QB102275,16,14,yes,143.26,10,4,33
QB102280,9,7,no,0.0,5,3,11
QB102285,1,1,no,0.0,0,1,5
QB102288,1,1,no,0.0,2,1,2
QB102299,5,6,yes,413.23,4,3,22
QB102305,12,9,yes,244.2,3,4,42
QB102307,15,12,no,0.0,6,4,65
QB102312,6,13,no,0.0,10,4,36
QB102315,6,5,no,0.0,2,3,14
QB102316,5,7,yes,162.49,1,2,14
QB102321,7,9,yes,221.15,9,4,77
QB102325,4,3,yes,396.12,2,3,19
QB102328,15,11,no,0.0,11,6,55
QB102334,7,4,no,0.0,3,4,18
QB102336,1,3,no,0.0,1,2,3
QB102337,6,4,yes,187.43,5,3,18
QB102343,1,0,no,0.0,0,1,7
QB102357,1,1,no,0.0,1,2,7
QB102361,8,7,no,0.0,4,3,28
QB102364,3,2,no,0.0,1,1,11
QB102367,1,1,no,0.0,0,1,2
QB102369,3,3,yes,125.91,1,2,10
QB102374,2,1,no,0.0,0,1,4
QB102376,1,0,no,0.0,1,1,3
QB102387,10,11,yes,291.87,10,4,44
QB102403,7,3,no,0.0,1,4,32
QB102418,1,0,no,0.0,0,1,3
QB102421,3,2,no,0.0,3,2,13
QB102423,9,2,yes,146.63,2,2,23
QB102427,1,0,no,0.0,2,1,4
QB102436,9,3,no,0.0,4,4,27
QB102438,2,0,no,0.0,1,1,4
QB102444,3,6,no,0.0,2,3,14
QB102447,17,8,yes,178.91,4,5,60
QB102452,2,3,no,0.0,1,1,13
QB102453,8,5,no,0.0,2,2,22
QB102457,5,8,yes,126.85,7,5,77
QB102459,2,1,no,0.0,0,1,7
QB102460,8,14,yes,257.73,7,6,72
QB102463,10,13,yes,287.74,9,7,37
QB102471,3,1,yes,310.21,2,1,5
QB102476,16,12,yes,126.3,10,6,21
QB102477,10,10,yes,364.07,9,5,60
QB102483,13,14,yes,490.26,10,6,23
QB102492,9,4,yes,102.41,2,3,22
QB102494,3,7,no,0.0,2,2,34
QB102501,1,3,no,0.0,1,2,6
QB102507,6,9,yes,322.84,7,5,22
QB102516,6,2,yes,367.19,4,3,18
QB102517,4,3,yes,611.74,3,2,13
QB102521,2,0,no,0.0,1,1,5
QB102546,6,7,yes,436.55,8,4,50
QB102549,14,4,yes,225.98,6,7,39
QB102560,2,1,no,0.0,0,1,4
QB102567,17,9,yes,578.11,3,4,67
QB102569,2,1,no,0.0,0,1,7
QB102575,2,3,no,0.0,2,1,6
QB102576,2,5,yes,524.52,3,3,24
QB102580,5,7,yes,197.82,1,2,21
QB102581,1,2,no,0.0,1,1,12
QB102584,3,5,no,0.0,2,3,30
QB102586,5,4,yes,118.94,3,3,21
QB102600,8,6,yes,396.13,5,2,10
QB102601,9,7,yes,406.94,2,4,19
QB102612,1,0,no,0.0,1,1,7
QB102619,10,13,yes,204.69,5,5,51
QB102620,11,9,yes,270.54,3,7,71
QB102625,8,5,no,0.0,4,2,29
QB102631,8,3,yes,180.94,1,4,23
QB102642,17,11,no,0.0,8,4,47
QB102654,2,0,no,0.0,2,1,7
QB102655,2,1,no,0.0,2,1,2
QB102656,6,6,yes,1135.59,1,2,17
QB102657,5,8,yes,690.54,9,5,68
QB102663,3,2,no,0.0,3,1,10
QB102665,9,5,no,0.0,5,4,18
QB102667,2,5,yes,174.13,1,4,12
QB102685,8,4,yes,167.68,5,3,28
QB102691,4,3,yes,143.96,2,3,28
QB102696,4,5,yes,418.0,5,3,27
QB102697,2,1,no,0.0,1,1,7
QB102699,15,10,yes,571.99,10,6,35
QB102719,5,7,no,0.0,4,3,20
QB102721,19,13,yes,276.0,7,6,76
QB102723,1,1,no,0.0,1,1,7
QB102727,9,14,no,0.0,10,5,43
QB102733,2,0,no,0.0,0,1,3
QB102743,2,0,no,0.0,1,1,4
QB102744,3,3,no,0.0,0,1,8
QB102767,1,2,no,0.0,0,1,6
QB102771,3,3,yes,389.4,1,3,28
QB102774,15,14,yes,265.68,3,5,35
QB102777,8,4,no,0.0,5,2,21
QB102783,2,7,no,0.0,5,2,22
QB102790,2,0,no,0.0,2,1,3
QB102797,18,7,yes,200.62,5,4,68
QB102801,1,1,no,0.0,2,1,2
QB102803,19,11,no,0.0,7,4,77
QB102804,13,14,yes,262.78,5,4,43
QB102817,5,6,yes,181.08,2,3,18
QB102823,6,9,no,0.0,11,4,58
QB102827,9,4,yes,66.36,3,4,25
QB102831,3,2,yes,171.61,1,2,12
QB102833,11,9,no,0.0,5,4,43
QB102834,8,3,no,0.0,1,2,25
QB102837,7,7,yes,255.32,1,4,24
QB102840,1,3,no,0.0,0,2,12
QB102844,9,7,yes,227.31,6,5,48
QB102846,7,4,no,0.0,2,2,29
QB102858,8,11,yes,238.61,5,4,23
QB102863,7,11,no,0.0,8,4,74
QB102864,5,3,no,0.0,3,3,26
QB102866,19,9,yes,249.47,11,4,27
QB102878,2,1,no,0.0,1,1,1
QB102880,2,1,no,0.0,1,1,4
QB102883,9,4,yes,297.4,5,2,34
QB102894,6,7,yes,318.3,4,4,31
QB102896,19,8,yes,192.61,5,5,28
QB102898,15,7,yes,347.7,9,5,56
QB102900,11,4,no,0.0,9,4,78
QB102903,8,7,no,0.0,1,2,30
QB102904,18,7,yes,214.72,9,5,27
QB102906,2,0,no,0.0,1,1,2
QB102908,6,4,no,0.0,3,3,30
QB102909,17,6,yes,193.04,10,7,25
QB102912,18,10,yes,237.62,4,4,39
QB102913,3,6,no,0.0,3,4,30
QB102925,9,5,no,0.0,4,3,15
QB102929,1,0,no,0.0,1,1,5
QB102932,1,0,no,0.0,2,1,5
QB102938,13,8,yes,165.66,8,7,47
QB102939,2,1,no,0.0,0,1,2
QB102950,18,12,no,0.0,3,4,57
QB102971,13,4,no,0.0,5,6,42
QB102973,2,3,no,0.0,1,2,21
QB102976,2,1,no,0.0,1,1,4
QB102977,8,2,yes,124.46,2,4,9
QB102984,12,4,yes,416.41,6,5,49
QB102986,19,7,yes,140.95,4,4,51
QB102997,1,1,no,0.0,2,2,6
QB102999,9,4,yes,197.0,8,5,59
QB103001,7,3,yes,244.28,4,2,15
QB103012,2,1,no,0.0,2,1,7
QB103015,1,0,no,0.0,0,1,3
QB103019,6,7,yes,201.56,3,4,25
QB103020,1,0,no,0.0,0,1,3
QB103026,2,0,no,0.0,2,1,6
QB103027,2,1,yes,352.48,0,1,10
QB103028,2,1,no,0.0,1,1,4
QB103031,6,11,no,0.0,9,5,27
QB103032,2,2,no,0.0,2,1,6
QB103034,5,11,yes,281.92,4,5,76
QB103041,7,6,yes,175.19,1,4,24
QB103042,5,7,no,0.0,1,2,27
QB103047,8,7,no,0.0,3,3,12
QB103055,3,1,no,0.0,1,2,3
QB103059,2,0,yes,681.14,0,1,5
QB103066,18,12,yes,314.61,7,7,77
QB103073,3,6,no,0.0,2,3,18
QB103075,6,7,yes,102.35,1,2,16
QB103077,2,1,no,0.0,0,1,4
QB103082,2,0,no,0.0,1,1,3
QB103086,1,1,no,0.0,1,1,3
QB103087,2,1,no,0.0,1,1,6
QB103091,4,3,no,0.0,0,2,4
QB103097,3,3,yes,345.54,2,1,9
QB103100,1,0,no,0.0,0,1,2
QB103101,6,10,yes,311.44,7,7,46
QB103104,10,7,yes,394.0,7,7,23
QB103107,6,6,yes,265.89,1,3,25
QB103114,15,4,yes,451.26,4,7,24
QB103115,19,5,yes,217.27,4,4,26
QB103117,2,1,no,0.0,1,1,2
QB103125,2,0,no,0.0,0,1,5
QB103127,3,2,yes,354.32,4,2,18
QB103140,1,0,no,0.0,0,1,6
QB103144,1,1,no,0.0,0,1,3
QB103147,7,7,no,0.0,1,4,18
QB103156,11,6,yes,141.5,3,4,38
QB103158,3,2,yes,147.31,2,2,12
QB103163,6,5,yes,234.85,9,6,26
QB103166,2,0,no,0.0,0,1,5
QB103170,10,6,yes,205.13,5,7,59
QB103171,8,3,no,0.0,3,4,24
QB103178,7,2,no,0.0,2,3,21
QB103180,1,2,yes,764.96,3,2,10
QB103186,9,13,yes,202.84,11,6,76
QB103197,6,3,yes,156.89,5,2,23
QB103211,9,5,yes,370.7,8,7,34
QB103215,7,2,yes,320.12,3,2,31
QB103217,15,9,no,0.0,6,6,78
QB103219,7,6,yes,212.8,5,4,12
QB103220,5,7,yes,173.62,5,3,23
QB103227,5,7,no,0.0,1,3,34
QB103229,5,4,yes,254.92,5,4,9
QB103232,1,0,no,0.0,2,1,3
QB103238,12,14,yes,424.73,9,5,39
QB103253,2,2,no,0.0,3,2,10
QB103254,10,7,yes,199.33,6,6,27
QB103258,2,3,no,0.0,2,2,3
QB103260,15,14,no,0.0,6,5,65
QB103264,2,1,no,0.0,2,1,5
QB103265,4,2,yes,133.99,3,1,4
QB103268,3,3,no,0.0,3,2,4
QB103269,17,5,no,0.0,8,5,53
QB103271,7,11,yes,182.26,6,6,25
QB103272,7,7,yes,341.8,2,3,22
QB103278,5,2,yes,257.97,2,3,34
QB103280,2,0,no,0.0,2,1,4
QB103281,2,1,no,0.0,1,1,5
QB103282,5,2,no,0.0,4,3,14
QB103284,1,1,no,0.0,0,1,6
QB103285,3,3,no,0.0,3,2,12
QB103299,1,1,no,0.0,1,1,5
QB103300,5,5,no,0.0,4,4,12
QB103301,3,6,no,0.0,4,3,13
QB103302,12,7,yes,471.86,5,4,69
QB103312,19,13,yes,123.09,7,6,66
QB103313,7,5,no,0.0,5,3,27
QB103318,1,1,no,0.0,1,1,3
QB103320,1,2,yes,306.75,2,1,11
QB103328,1,0,no,0.0,0,1,2
QB103331,2,3,yes,345.4,4,2,30
QB103334,1,1,no,0.0,2,1,6
QB103359,3,7,yes,137.56,2,4,23
QB103360,9,7,no,0.0,5,2,22
QB103361,5,2,no,0.0,5,3,9
