user_id,experiment_group,city,device_os,acquisition_channel,acquisition_cost,first_order_datetime,first_order_value,first_order_delivery_time_mins,first_order_discount_value,first_order_item_count,first_order_payment_method,returned_7d,second_order_datetime,second_order_value,second_order_delivery_time_mins,second_order_discount_value,second_order_item_count,second_order_status,second_order_payment_method,w2_returned,w2_order_value
EXP200084,control,Hyderabad,android,referral,74.31,2025-04-06 20:12:19,177.07,18.6,53.12,1,cod,1,2025-04-08 02:47:19,119.9,9.1,0.0,1.0,Delivered,upi,0,
EXP200085,control,Delhi NCR,ios,referral,32.49,2025-04-06 11:50:31,163.04,17.6,48.91,2,upi,1,2025-04-08 21:30:31,266.17,15.2,0.0,4.0,Delivered,upi,0,
EXP200086,control,Hyderabad,ios,organic_search,15.18,2025-04-07 13:59:51,206.68,16.2,55.27,4,cod,0,,,,,,,,0,
EXP200087,control,Bangalore,ios,meta_ads,60.34,2025-04-07 14:20:32,75.51,14.4,22.65,1,debit_card,0,,,,,,,,0,
EXP200088,control,Chennai,android,google_ads,106.22,2025-04-08 11:11:28,166.47,22.799999999999997,49.94,5,debit_card,0,,,,,,,,0,
EXP200089,control,Delhi NCR,ios,offline_events,264.21,2025-04-10 11:38:12,210.8,15.0,63.24,4,upi,1,2025-04-12 12:57:12,263.39,12.8,0.0,1.0,Delivered,upi,0,
EXP200090,control,Bangalore,android,organic_search,67.53,2025-04-06 12:06:25,272.9,6.6,51.51,3,upi,1,2025-04-13 21:37:25,470.64,11.0,0.0,4.0,Delivered,cod,1,398.16
EXP200091,control,Mumbai,ios,referral,79.17,2025-04-10 11:01:51,244.55,18.900000000000002,54.31,3,upi,1,2025-04-14 19:42:51,309.97,15.5,23.41,3.0,Delivered,credit_card,0,
EXP200092,control,Bangalore,android,meta_ads,83.12,2025-04-08 08:58:35,214.34,10.2,64.3,5,pay_later,0,,,,,,,,0,
EXP200093,control,Delhi NCR,android,organic_search,42.18,2025-04-10 19:15:49,203.35,15.2,61.0,2,debit_card,0,,,,,,,,0,
EXP200094,control,Hyderabad,android,app_store,37.16,2025-04-07 10:48:50,269.55,15.4,80.86,3,pay_later,1,2025-04-08 12:39:50,376.64,17.3,0.0,7.0,Delivered,upi,0,
EXP200095,control,Delhi NCR,android,meta_ads,96.07,2025-04-09 20:00:28,336.81,17.9,44.61,3,cod,1,2025-04-13 11:11:28,269.18,10.2,0.0,4.0,Delivered,credit_card,0,
EXP200096,control,Hyderabad,ios,influencer,140.92,2025-04-09 14:05:48,431.17,18.4,42.63,4,upi,1,2025-04-10 23:22:48,298.71,14.2,0.0,6.0,Delivered,upi,0,
EXP200097,control,Hyderabad,android,organic_search,21.19,2025-04-07 09:12:25,106.32,11.8,31.9,1,upi,1,2025-04-13 19:04:25,201.6,20.6,0.0,5.0,Delivered,upi,0,
EXP200098,control,Bangalore,android,influencer,224.74,2025-04-10 10:09:12,369.36,14.7,75.81,7,upi,1,2025-04-14 20:05:12,253.2,15.0,0.0,3.0,Delivered,cod,0,
EXP200099,control,Delhi NCR,ios,app_store,20.61,2025-04-10 23:29:29,573.28,15.0,93.68,7,upi,0,,,,,,,,0,
EXP200100,control,Pune,ios,google_ads,162.59,2025-04-08 20:27:24,244.9,22.3,44.03,2,debit_card,0,,,,,,,,0,
EXP200101,control,Mumbai,ios,meta_ads,88.18,2025-04-05 17:38:09,302.92,13.6,57.44,7,upi,0,,,,,,,,0,
EXP200102,control,Chennai,android,google_ads,67.24,2025-04-08 10:00:20,380.06,16.5,68.49,2,upi,0,,,,,,,,0,
EXP200103,control,Hyderabad,android,influencer,167.77,2025-04-05 17:22:23,175.97,12.3,42.69,4,upi,0,,,,,,,,0,
EXP200104,control,Mumbai,android,referral,103.88,2025-04-07 11:25:51,615.33,17.5,73.28,5,upi,1,2025-04-11 19:17:51,287.96,22.7,27.2,4.0,Delivered,cod,0,
EXP200105,control,Bangalore,android,organic_search,36.28,2025-04-10 21:24:09,213.41,14.0,64.02,3,debit_card,0,,,,,,,,0,
EXP200106,control,Pune,ios,organic_search,35.1,2025-04-10 09:11:32,291.13,16.6,78.62,6,debit_card,0,,,,,,,,0,
EXP200107,control,Ahmedabad,android,google_ads,128.6,2025-04-09 16:53:31,231.35,17.1,69.41,3,credit_card,0,,,,,,,,0,
EXP200108,control,Delhi NCR,ios,google_ads,69.8,2025-04-07 21:19:47,141.81,12.3,42.54,3,upi,0,,,,,,,,0,
EXP200109,control,Mumbai,android,meta_ads,81.62,2025-04-06 22:57:25,90.16,12.1,27.05,1,upi,0,,,,,,,,0,
EXP200110,control,Delhi NCR,android,app_store,35.23,2025-04-07 17:29:51,265.17,18.0,57.53,5,debit_card,0,,,,,,,,0,
EXP200111,control,Mumbai,android,meta_ads,145.52,2025-04-07 19:54:55,337.61,19.5,63.5,4,upi,0,,,,,,,,0,
EXP200112,control,Pune,android,offline_events,270.06,2025-04-05 11:43:54,276.56,20.799999999999997,75.08,5,upi,1,2025-04-08 21:15:54,150.68,18.1,0.0,1.0,Delivered,cod,1,418.32
EXP200113,control,Chennai,android,meta_ads,91.76,2025-04-10 11:34:50,121.05,24.400000000000002,36.31,1,upi,0,,,,,,,,0,
EXP200114,control,Kolkata,android,meta_ads,116.67,2025-04-10 09:35:33,337.52,16.0,92.36,3,debit_card,1,2025-04-14 19:26:33,559.4,23.7,79.17,7.0,Delivered,cod,1,303.91
EXP200115,control,Bangalore,android,google_ads,87.77,2025-04-09 08:40:24,110.26,13.2,33.08,1,cod,0,,,,,,,,0,
EXP200116,control,Mumbai,android,referral,122.53,2025-04-09 19:08:52,225.85,20.7,67.75,1,upi,0,,,,,,,,0,
EXP200117,control,Chennai,ios,google_ads,113.12,2025-04-07 21:31:00,151.47,13.3,45.44,1,upi,1,2025-04-12 08:44:00,204.52,13.8,0.0,1.0,Delivered,upi,0,
EXP200118,control,Mumbai,android,meta_ads,138.91,2025-04-10 15:17:04,201.61,17.7,60.48,3,upi,1,2025-04-14 04:26:04,543.13,13.6,58.26,9.0,Delivered,credit_card,0,
EXP200119,control,Pune,android,referral,89.64,2025-04-05 08:53:30,325.33,13.6,46.32,5,upi,0,,,,,,,,0,
EXP200120,control,Pune,ios,organic_search,70.54,2025-04-11 22:52:14,312.51,11.1,58.98,7,debit_card,1,2025-04-13 08:34:14,582.31,18.4,0.0,7.0,Delivered,credit_card,1,416.32
EXP200121,control,Bangalore,android,referral,80.76,2025-04-06 14:20:46,111.31,13.4,33.39,2,debit_card,1,2025-04-13 04:03:46,322.75,15.4,0.0,3.0,Delivered,upi,0,
EXP200122,control,Mumbai,android,google_ads,125.56,2025-04-06 08:26:32,349.22,14.0,70.3,5,cod,0,,,,,,,,0,
EXP200123,control,Bangalore,android,google_ads,83.64,2025-04-05 10:43:36,127.12,16.1,38.14,1,upi,1,2025-04-07 19:36:36,361.13,10.9,0.0,5.0,Delivered,upi,0,
EXP200124,control,Chennai,ios,google_ads,117.83,2025-04-09 09:52:51,138.45,15.299999999999999,41.53,1,debit_card,1,2025-04-14 20:51:51,510.07,16.9,0.0,10.0,Delivered,debit_card,0,
EXP200125,control,Bangalore,android,influencer,117.9,2025-04-05 20:04:38,193.25,10.3,57.97,5,upi,0,,,,,,,,0,
EXP200126,control,Bangalore,ios,organic_search,36.75,2025-04-05 10:30:45,318.45,11.600000000000001,73.5,2,upi,1,2025-04-10 19:26:45,298.58,19.299999999999997,0.0,6.0,Delivered,upi,0,
EXP200127,control,Mumbai,android,meta_ads,86.47,2025-04-05 15:37:35,180.76,13.6,54.23,4,debit_card,1,2025-04-08 04:33:35,479.17,11.6,0.0,4.0,Refunded,pay_later,0,
EXP200128,control,Delhi NCR,android,offline_events,270.3,2025-04-10 19:22:50,358.1,14.0,74.22,3,upi,1,2025-04-13 08:21:50,359.11,15.4,0.0,4.0,Delivered,upi,0,
EXP200129,control,Hyderabad,android,google_ads,113.37,2025-04-09 18:32:25,161.17,16.2,48.35,3,upi,1,2025-04-11 13:14:25,326.67,20.6,0.0,2.0,Delivered,upi,0,
EXP200130,control,Mumbai,android,influencer,146.95,2025-04-06 18:51:42,241.72,15.5,64.46,4,upi,0,,,,,,,,0,
EXP200131,control,Bangalore,ios,influencer,124.17,2025-04-08 10:52:37,231.47,15.8,40.75,6,upi,0,,,,,,,,0,
EXP200132,control,Mumbai,android,google_ads,120.27,2025-04-08 21:03:49,363.35,16.9,64.69,6,upi,0,,,,,,,,0,
EXP200133,control,Chennai,android,organic_search,42.38,2025-04-08 11:52:49,174.88,15.2,52.46,2,cod,0,,,,,,,,0,
EXP200134,control,Hyderabad,ios,google_ads,122.79,2025-04-05 19:00:51,503.88,17.7,60.45,5,credit_card,0,,,,,,,,0,
EXP200135,control,Bangalore,android,influencer,162.71,2025-04-10 17:12:29,325.68,18.0,64.27,2,upi,0,,,,,,,,0,
EXP200136,control,Bangalore,android,meta_ads,125.17,2025-04-09 09:29:34,158.87,11.600000000000001,47.66,5,credit_card,0,,,,,,,,0,
EXP200137,control,Mumbai,android,offline_events,187.14,2025-04-07 20:22:28,357.52,19.6,81.7,7,upi,1,2025-04-13 14:21:28,393.86,8.1,0.0,5.0,Delivered,upi,0,
EXP200138,control,Delhi NCR,android,google_ads,74.89,2025-04-07 18:08:57,228.26,17.8,40.98,3,credit_card,1,2025-04-10 01:24:57,313.96,12.1,0.0,5.0,Delivered,debit_card,1,482.45
EXP200139,control,Mumbai,android,influencer,137.75,2025-04-05 08:46:00,175.41,9.4,52.62,2,credit_card,0,,,,,,,,0,
EXP200140,control,Chennai,ios,organic_search,52.32,2025-04-09 08:44:34,156.07,20.0,46.82,1,upi,0,,,,,,,,0,
EXP200141,control,Delhi NCR,android,organic_search,52.81,2025-04-07 12:21:18,105.94,14.6,31.78,1,upi,1,2025-04-08 20:08:18,431.93,11.0,0.0,4.0,Delivered,debit_card,0,
EXP200142,control,Bangalore,android,google_ads,156.02,2025-04-11 12:25:36,155.22,13.3,46.57,3,cod,0,,,,,,,,0,
EXP200143,control,Hyderabad,android,offline_events,249.29,2025-04-06 19:56:19,291.55,13.399999999999999,58.13,3,upi,0,,,,,,,,0,
EXP200144,control,Delhi NCR,android,meta_ads,112.12,2025-04-06 13:52:46,192.02,20.2,52.99,1,upi,1,2025-04-10 20:12:46,364.33,16.6,0.0,6.0,Delivered,debit_card,0,
EXP200145,control,Delhi NCR,android,google_ads,162.51,2025-04-07 08:17:18,415.61,11.3,97.52,5,cod,0,,,,,,,,0,
EXP200146,control,Hyderabad,android,organic_search,31.57,2025-04-07 00:10:23,152.23,10.8,45.67,1,cod,1,2025-04-13 20:01:23,278.43,16.0,0.0,1.0,Delivered,cod,0,
EXP200147,control,Kolkata,android,meta_ads,87.99,2025-04-11 16:01:31,335.56,8.5,42.08,4,credit_card,0,,,,,,,,0,
EXP200148,control,Hyderabad,ios,referral,93.08,2025-04-09 11:44:18,175.41,14.0,52.62,2,upi,0,,,,,,,,0,
EXP200149,control,Hyderabad,android,google_ads,144.28,2025-04-08 09:06:51,104.4,16.4,31.32,1,upi,0,,,,,,,,0,
EXP200150,control,Ahmedabad,android,referral,42.5,2025-04-09 07:38:04,204.58,11.9,59.05,5,upi,0,,,,,,,,0,
EXP200151,control,Ahmedabad,ios,meta_ads,130.69,2025-04-06 20:18:22,488.26,20.1,91.91,3,upi,1,2025-04-10 05:20:22,361.57,26.6,0.0,4.0,Delivered,upi,1,297.09
EXP200152,control,Pune,android,meta_ads,109.92,2025-04-10 12:56:22,109.35,10.6,32.8,1,upi,0,,,,,,,,0,
EXP200153,control,Delhi NCR,android,organic_search,34.38,2025-04-09 06:47:48,290.15,15.5,68.85,4,debit_card,0,,,,,,,,1,308.2
EXP200154,control,Delhi NCR,android,organic_search,33.79,2025-04-10 12:09:32,161.53,16.6,48.46,3,cod,1,2025-04-17 20:18:32,621.56,14.0,0.0,8.0,Delivered,upi,0,
EXP200155,control,Bangalore,android,meta_ads,123.7,2025-04-09 11:25:57,272.5,13.100000000000001,62.82,5,upi,0,,,,,,,,0,
EXP200156,control,Pune,ios,google_ads,109.1,2025-04-08 15:34:47,321.39,16.6,80.55,2,pay_later,0,,,,,,,,0,
EXP200157,control,Pune,android,app_store,27.9,2025-04-07 20:37:25,262.33,18.2,78.7,1,upi,0,,,,,,,,0,
EXP200158,control,Bangalore,android,organic_search,49.15,2025-04-11 08:57:49,280.8,10.7,84.24,8,upi,0,,,,,,,,1,276.18
EXP200159,control,Mumbai,android,referral,76.13,2025-04-08 19:57:24,277.86,17.0,64.66,2,upi,0,,,,,,,,0,
EXP200160,control,Ahmedabad,ios,referral,68.55,2025-04-10 17:05:33,300.97,19.1,42.0,3,upi,1,2025-04-11 20:39:33,215.8,24.299999999999997,0.0,4.0,Delivered,upi,0,
EXP200161,control,Hyderabad,android,organic_search,50.78,2025-04-11 11:56:18,191.41,15.7,47.82,3,credit_card,0,,,,,,,,0,
EXP200162,control,Chennai,ios,influencer,142.61,2025-04-11 21:18:55,180.44,12.5,51.05,1,upi,0,,,,,,,,0,
EXP200163,control,Hyderabad,android,meta_ads,79.44,2025-04-06 19:17:39,170.29,15.9,43.22,3,upi,1,2025-04-11 05:36:39,408.05,14.0,0.0,7.0,Delivered,credit_card,1,401.6
EXP200164,control,Bangalore,android,organic_search,26.22,2025-04-10 11:38:51,161.0,14.899999999999999,48.3,3,upi,0,,,,,,,,0,
EXP200165,control,Mumbai,android,meta_ads,149.13,2025-04-10 18:16:31,217.68,14.0,65.3,2,pay_later,0,,,,,,,,0,
EXP200166,control,Mumbai,android,referral,87.97,2025-04-11 18:05:05,396.5,19.9,92.06,6,cod,0,,,,,,,,1,252.48
EXP200167,control,Chennai,android,app_store,37.29,2025-04-07 10:14:29,183.87,16.5,55.16,1,cod,0,,,,,,,,0,
EXP200168,control,Chennai,ios,meta_ads,122.64,2025-04-06 22:50:50,184.44,18.5,55.33,4,cod,0,,,,,,,,0,
